RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,1/31/1996,2/29/1996,3/31/1996,4/30/1996,5/31/1996,6/30/1996,7/31/1996,8/31/1996,9/30/1996,10/31/1996,11/30/1996,12/31/1996,1/31/1997,2/28/1997,3/31/1997,4/30/1997,5/31/1997,6/30/1997,7/31/1997,8/31/1997,9/30/1997,10/31/1997,11/30/1997,12/31/1997,1/31/1998,2/28/1998,3/31/1998,4/30/1998,5/31/1998,6/30/1998,7/31/1998,8/31/1998,9/30/1998,10/31/1998,11/30/1998,12/31/1998,1/31/1999,2/28/1999,3/31/1999,4/30/1999,5/31/1999,6/30/1999,7/31/1999,8/31/1999,9/30/1999,10/31/1999,11/30/1999,12/31/1999,1/31/2000,2/29/2000,3/31/2000,4/30/2000,5/31/2000,6/30/2000,7/31/2000,8/31/2000,9/30/2000,10/31/2000,11/30/2000,12/31/2000,1/31/2001,2/28/2001,3/31/2001,4/30/2001,5/31/2001,6/30/2001,7/31/2001,8/31/2001,9/30/2001,10/31/2001,11/30/2001,12/31/2001,1/31/2002,2/28/2002,3/31/2002,4/30/2002,5/31/2002,6/30/2002,7/31/2002,8/31/2002,9/30/2002,10/31/2002,11/30/2002,12/31/2002,1/31/2003,2/28/2003,3/31/2003,4/30/2003,5/31/2003,6/30/2003,7/31/2003,8/31/2003,9/30/2003,10/31/2003,11/30/2003,12/31/2003,1/31/2004,2/29/2004,3/31/2004,4/30/2004,5/31/2004,6/30/2004,7/31/2004,8/31/2004,9/30/2004,10/31/2004,11/30/2004,12/31/2004,1/31/2005,2/28/2005,3/31/2005,4/30/2005,5/31/2005,6/30/2005,7/31/2005,8/31/2005,9/30/2005,10/31/2005,11/30/2005,12/31/2005,1/31/2006,2/28/2006,3/31/2006,4/30/2006,5/31/2006,6/30/2006,7/31/2006,8/31/2006,9/30/2006,10/31/2006,11/30/2006,12/31/2006,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020
94562,562,84404,Zip,UT,UT,Ogden,Ogden-Clearfield,Weber County,114927,115527,116142,117258,118154,118872,119468,120121,120713,121327,122038,122758,123564,124046,124444,124704,125309,125952,126706,127432,128191,128860,129169,129412,129557,129954,130268,130725,131071,131690,132136,132187,132098,132005,132254,132482,132650,132922,133149,133386,133468,133429,133783,134541,135549,136447,137025,137556,137881,138301,138673,139206,139574,139923,139882,139915,139758,139788,140078,140639,141553,141999,142633,142733,143021,142945,143108,143363,143901,144184,144237,143887,143567,143385,143387,143281,142820,142173,142318,142635,142851,142767,142777,142919,142853,142244,140952,140304,141230,143254,143833,143340,142599,142770,142797,142876,142683,143360,144219,145158,144731,143756,143075,142981,143133,142877,142920,142957,143391,143507,143869,143822,143933,143859,144301,144948,145543,146019,146366,146857,147132,147528,147918,148726,149645,151051,152179,153243,154080,155014,155927,156699,157955,159163,160613,161668,163070,164041,165192,166613,168389,170137,172138,174016,176043,176992,177651,177656,177309,176725,176066,175060,174167,172919,171151,169369,166721,165704,164207,163607,162483,161708,161202,160659,160349,160366,160693,160620,160343,159535,158916,158308,157693,157292,156157,154804,152216,150100,148145,147174,146842,146360,146124,145422,144967,143803,143120,143020,143874,144041,143800,143248,142547,141634,140787,140185,140082,140346,140586,140898,140868,141206,141768,142583,143637,145188,146783,148381,149754,151271,152704,153327,154589,155621,156710,156723,156898,157019,156925,156831,156732,156882,156835,157265,157267,158024,158863,160506,161202,161874,162601,163960,164835,165539,166716,168396,169898,170581,171092,171714,173219,174511,176036,176940,178924,180898,182916,184286,186034,188046,190270,192433,194325,196893,199747,202723,204903,206940,209097,211104,212685,214095,215914,218609,221283,223530,224393,226231,228352,231045,232914,235226,238111,241219,243911,245138,246775,248296,251245,252593,253723,254291,255872,257409,258599,259719,260979,263042,264900,267017,268782,271395,274315,277554
94384,686,84015,Zip,UT,UT,Clearfield,Ogden-Clearfield,Davis County,124686,124706,124979,125442,125843,126161,126478,127087,127551,128047,128539,129234,129903,130535,130899,131137,131746,132602,133461,133798,134278,134785,135295,135405,135635,136148,136759,137328,137483,137417,137405,137445,137671,137708,137885,138201,138405,138514,138598,138785,138810,138838,138739,139068,139235,139579,139540,139642,139644,139986,140448,141077,141973,142913,143761,144079,144303,144724,145788,146747,147782,148063,147880,147381,147143,147339,147809,148351,149013,149481,149604,149643,149697,150020,150520,151039,151145,150839,150354,150046,149730,149346,148927,148672,148411,148284,148252,148370,148468,148601,148713,149014,149261,149571,149812,149956,150150,150488,150811,151014,151342,151794,152293,152483,152551,152729,153116,153636,154089,154334,154718,155314,155654,155648,155492,155474,155484,155706,155902,156541,157119,158077,158922,159645,160757,162020,163670,165262,167710,169350,171438,172254,174008,175206,176956,179129,181688,184655,187155,189809,191564,193793,195039,197308,198299,199089,198829,197783,195960,194128,192960,191770,190524,189254,188424,187096,185975,185746,185643,185437,185402,185058,184781,184194,183575,183169,182681,182670,182378,181565,180891,180771,180330,179843,178292,176899,175969,174961,173978,172022,170703,169398,168337,166912,165498,164143,163539,163149,162697,162089,161386,161569,161813,162182,162311,162416,163163,164116,164996,165842,166554,167641,168943,170414,171250,172022,172831,174257,175616,176874,178120,179014,179828,180196,181007,181130,181818,182238,183273,183624,183556,183300,183001,182843,182617,182959,183109,183870,184510,185537,185956,186650,187553,188837,190578,192733,195180,196896,198497,200005,201751,203586,205647,207651,209314,210764,212126,213808,215545,217997,219729,221377,222396,223684,225071,227100,229785,232861,235482,237268,238707,240025,242163,244248,246737,248564,250350,252405,254874,256954,258876,260959,263621,266506,268927,271309,272944,274880,276517,277783,278833,280348,282188,284120,285632,286898,288256,289684,291618,293600,295801,297999,299999,301762
94410,872,84043,Zip,UT,UT,Lehi,Provo-Orem,Utah County,,,,,191477,191516,191569,191467,191346,191114,191593,191968,192405,192302,192781,193579,194570,195312,195828,196699,197626,198947,199238,199588,199973,201262,201632,201395,200696,200504,200406,200236,200168,200062,200111,200329,200311,200111,200120,200402,200486,200026,200001,200328,200649,200322,200073,199971,200209,200528,200937,201482,203599,205738,207450,207938,208525,209900,211205,212425,213327,214006,214651,215286,214417,214097,213722,214559,215177,215252,215332,215008,215125,215440,215984,216163,216814,216885,216816,215987,215498,215429,215388,215425,215543,215422,215104,214856,214747,214866,215080,215651,215658,215521,215313,215553,215217,215158,215041,215112,214937,214624,214270,213630,213303,213375,213861,214255,215009,215721,216565,217280,217829,218258,218478,218901,220021,221259,222987,224499,226447,228041,229469,231171,233758,237248,242131,247663,252802,256665,258889,262036,265079,269832,275071,280631,285566,290254,294147,297344,299870,302861,306133,307287,307242,305085,302452,299333,296584,293831,290128,285977,281253,277077,273180,270133,267712,265103,262848,259620,256237,251865,248669,245727,243705,241596,240635,239838,237763,235848,233838,233377,232247,231503,229896,228381,226918,224617,221454,217846,215966,214402,212566,210354,208923,208691,209246,210037,209754,210214,210836,212600,213806,215362,217486,219475,221166,221025,220856,221146,223771,227003,230293,232967,235791,238693,241547,244504,247624,251900,256204,259946,262485,263784,264857,265595,266700,267776,268335,269013,269764,271020,270438,269829,268979,269972,271375,273057,274395,275329,277070,278877,280327,280740,282771,285600,288560,290314,291161,292600,294186,296504,297595,298291,299708,301984,304030,305111,306667,308419,310782,311965,313801,314700,317597,320506,323528,325704,328083,330506,332074,333361,335489,339229,341898,345439,347274,349712,351599,353831,356708,359126,362194,365623,369167,371841,372752,372910,373290,374225,375693,377436,378858,380247,381439,382541,383006,383542,385834,388428,391316,393471,395447,397212
94715,1217,84790,Zip,UT,UT,Saint George,St. George,Washington County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239277,239736,240623,242968,245303,248635,252000,256226,259917,263452,267067,270843,274433,280246,288136,296696,304059,308543,312496,315816,319956,324160,327291,329959,332743,332693,328404,321534,317286,316008,315798,314974,314136,313150,312838,312162,311262,309407,307832,305821,304118,301557,298900,294395,289940,285411,281450,277233,272359,266677,262026,257766,254011,250452,246603,243856,239587,235873,232359,230947,230544,230466,229487,228208,226327,223873,221863,220070,219559,218684,217800,216031,214584,214821,215117,215538,214741,214682,214442,214621,214990,215664,216188,216520,216375,215233,215142,215311,217238,218933,220537,221387,221965,223358,224950,226368,228039,229990,231927,234007,235645,237485,239635,242495,244982,246533,247904,249752,251436,252780,254083,255291,256653,257592,258126,258528,259569,260610,261432,262079,263086,264113,264414,264848,265220,265822,267059,267591,267778,267600,268490,269293,269983,271335,273209,274884,275970,277048,277929,279293,280963,283377,285003,286633,287825,288346,288657,289357,291070,293501,296039,298347,300456,302540,304930,307917,311219,314912,318735,322274,325101,326833,328020,329866,332000,334230,336602,338219,339617,340203,340766,341408,342773,344184,345826,346553,347425,348275,349045,350152,351454,353401,355409,357490,359227,361418,363807
94408,1293,84041,Zip,UT,UT,Layton,Ogden-Clearfield,Davis County,142810,142050,141806,141434,141438,141679,141931,142352,142792,143312,144104,144916,145716,146653,147352,147901,148586,149191,149742,149979,150298,150726,150924,151133,151420,152318,153283,154021,153930,153689,153810,154156,154493,154498,154475,154437,154399,154319,154444,154690,154734,154525,153996,153738,153573,153880,154095,154517,154782,155175,155512,155810,156632,157572,158571,159202,159659,159919,160417,160834,161550,161753,161706,161651,161452,161525,161657,161888,162403,162897,163333,163607,163578,163782,163919,164041,164232,164200,164038,163695,163365,163149,162918,162714,162544,162431,162625,162897,162806,162603,162395,162756,163125,163477,163710,163944,164300,164614,164760,164722,165221,165935,167050,167567,167690,167566,167500,167751,168052,168435,169026,169846,169948,169755,168771,168376,167796,168072,168166,168734,169033,169842,170497,171236,172574,174389,176937,179265,183031,185647,189121,190780,193375,195062,197250,199682,202264,204818,206998,209156,210185,211641,212081,213975,214755,215418,215112,213851,212183,210511,209414,208010,206301,204469,203095,201400,200001,199655,199440,199380,199237,198857,198468,198066,197741,197974,198175,198740,198431,197478,196647,196486,195903,195040,193029,191270,190157,188798,187287,184678,183506,182264,181463,179828,178488,177260,176950,176729,176356,175678,175142,175627,175990,176416,176215,176299,177009,178267,179341,180228,180991,182361,183968,185613,186378,187274,188714,190816,192835,194547,196328,198169,199907,201103,202072,202504,203437,204322,205399,205813,205644,205219,204753,204255,203490,203175,203149,203724,204401,205382,205863,206467,207036,207980,209319,211098,213542,215351,217113,218612,220440,221806,223482,225037,226858,228551,230081,231881,233516,235918,237433,238993,239686,241029,242358,244583,247250,250219,252919,254832,256412,257803,260038,262279,265001,267081,269125,271168,273589,275810,277899,279966,282443,285089,287140,289289,290901,293073,294755,296008,297193,298811,300676,302616,304376,305955,307759,309464,311518,313332,315552,317916,320028,321852
399651,1520,84096,Zip,UT,UT,Herriman,Salt Lake City,Salt Lake County,176741,177710,179384,181764,184617,186206,188158,189737,191031,191817,192431,193424,194419,195294,195742,196762,197353,199375,200818,202467,204597,206940,208826,209333,209909,211087,211190,210871,209398,208218,206766,205526,204021,202872,202471,202795,202523,201768,201844,202133,202948,203606,204118,204823,205122,205728,206159,207060,208239,209663,209886,209935,211099,213317,216528,218552,219723,219835,219459,219332,219404,219813,221323,223621,224788,223316,221031,219946,221131,223158,224982,225735,225612,224955,224590,224127,224502,226250,227623,228111,227268,226496,226380,226290,226333,226745,227201,227177,226040,224461,223687,223799,224060,223765,223484,224181,226092,227513,228270,229189,230708,232551,233582,233928,234319,234446,234532,234075,233187,232264,231084,230098,229813,230088,230696,231690,233825,237085,240543,243897,246692,250835,256352,262129,266731,270378,275213,281035,285750,290884,295079,299893,305652,311308,316968,322022,327919,335202,341118,344774,345987,344748,344687,344567,344656,342907,339662,335052,330449,325190,320552,316697,314757,313213,310676,307264,301918,296478,290847,287538,283661,280614,277498,274727,271568,268781,266947,265538,265600,265939,266687,266297,266129,264740,263009,260363,258830,257725,256382,254349,251616,249305,247514,245619,244025,243088,242570,243504,243279,243156,242501,242864,243557,244795,245529,247128,249070,250876,252731,253470,255578,257403,260252,263513,267317,270921,274225,278103,281152,284793,287803,291397,294398,297338,299588,301157,301497,301826,302880,302973,303475,303476,304269,304870,304923,305663,306929,307912,310091,311785,314182,316193,318224,319865,321041,323211,325940,328416,329715,330956,332589,334287,335327,336297,338077,340255,342937,344149,346059,347446,350652,354044,356598,358515,360281,362754,364686,367224,369131,372055,373519,375624,376605,378082,378557,380914,383822,387707,390613,392523,395034,396735,398815,401347,404660,408173,411457,414231,415862,416345,416257,417285,418389,420416,422353,423790,424926,425729,427556,429063,431362,434031,437901,441421
94702,1590,84770,Zip,UT,UT,Saint George,St. George,Washington County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178692,177378,177444,178169,179929,183144,185798,189240,192165,195624,199163,202596,206280,211973,218070,223800,228418,231124,235013,238326,242554,246128,249786,253820,257278,260631,262558,263129,263030,262929,263227,263110,263235,263159,262854,262144,261570,260126,258631,256610,255457,252955,249667,245066,240974,237207,233570,230026,226020,221697,217708,214570,211434,209381,207293,205596,202989,200302,198056,196266,194914,193537,192230,190580,188766,186356,184324,182891,181923,180941,179779,178521,177766,178372,178764,178910,178147,177998,177788,177612,177543,177704,177968,178430,178449,177718,177560,178112,179875,181356,182605,183709,185033,186984,188868,190432,192102,193641,194940,196048,197187,198808,200888,203362,205346,206682,207897,209275,210455,211776,213226,214724,215746,216445,216660,216657,217105,217397,217771,217867,218585,219140,219524,219893,220638,221291,222359,222865,223075,223173,223823,224748,225238,226354,227731,229093,229907,230598,231473,232830,234617,236831,238465,240035,241580,242595,243294,243950,245392,247628,249896,252035,253934,255777,257932,260544,263291,266284,269404,272761,275542,277532,278532,280203,281838,283904,285997,287671,288928,289542,289914,290563,291545,292705,294193,294869,295762,296414,297009,297708,298711,300218,301938,303344,304637,306041,307725
94439,1600,84074,Zip,UT,UT,Tooele,Salt Lake City,Tooele County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134223,134152,134483,134666,135051,135301,136059,136967,138021,138926,140315,142195,144207,146291,148030,150001,151740,153580,155371,157141,159142,161394,163301,164860,166472,168303,169921,172325,175168,178650,181202,183805,186677,189978,193033,195069,197134,199233,201675,203370,204842,206228,207564,208613,207302,205608,203449,202957,201845,200529,199311,198173,197061,195739,194540,193158,192356,191367,190387,188916,187466,185896,183939,182059,180264,178470,176814,175348,174423,173646,173074,172492,172140,171781,171558,170960,170332,169471,168578,167734,166916,166152,165339,164170,163048,162183,161786,161538,161375,161471,161645,161677,161531,161608,161823,162440,162950,163429,163845,164313,164818,165038,165460,165921,166635,167736,168774,170558,172151,173704,175157,176341,177718,178237,178824,178918,179664,179969,180950,179921,179482,179119,178120,177779,177120,179299,180614,183473,184928,185899,185988,186650,187630,188442,190853,192776,194417,194137,194679,194514,195134,195839,196597,198182,199636,201595,202729,204066,206117,208634,211326,213721,215898,218695,221944,224815,226153,227055,227998,229902,231841,233510,235444,237287,239469,240924,242441,244448,248480,252520,256345,258382,260086,262049,264281,266650,268977,271240,274119,275911,276448,276790,277159,278569,279698,281133,282084,283075,283951,285164,285785,287102,288708,290570,292596,294566
94479,1613,84119,Zip,UT,UT,West Valley City,Salt Lake City,Salt Lake County,116790,116900,117046,117339,117798,118306,118807,119220,119545,119888,120265,120653,120896,121093,121477,122009,122571,122944,123400,123797,124366,124848,125239,125624,126282,127203,127686,128028,128048,128439,128604,128877,128986,129258,129637,129999,130314,130466,131053,131387,131283,130811,130635,131211,132073,132867,133577,134271,134767,135188,135437,136070,137932,139705,141559,142060,142507,142812,143221,143717,144097,144532,144889,145259,145214,145241,145010,145186,145421,145740,145884,145845,146009,146003,146138,146234,146056,145902,145614,145589,145314,144963,144682,144437,144129,143945,143749,143485,143351,143122,143161,142968,142876,142837,143052,143444,143863,144032,144036,143864,143672,143593,143529,143468,143565,143502,143215,142637,142220,142546,143154,143819,143925,143742,143362,143517,143926,144585,145295,146341,147480,148358,149067,150412,152589,155213,158117,160354,162294,164625,167262,169896,172214,174599,177656,180276,182626,185261,187870,191267,193660,195404,196441,197514,198766,199358,198958,197734,196624,194950,193437,191561,190892,189977,188978,187366,185436,183251,181175,179853,178225,176948,175392,174045,172057,170355,169267,168687,168455,168414,168162,167530,167169,166459,165531,163460,161957,160447,158816,156858,154640,152856,151122,149337,147038,145029,143501,142943,141852,140826,139926,139510,139575,139682,140026,140673,142138,143246,144043,144761,146509,148476,150454,152378,153787,155214,156618,159002,160754,163137,165740,168440,170610,172365,173740,174747,175861,177001,178201,177963,177924,177521,177340,177039,176600,176609,177189,177858,178973,179927,181418,183219,184974,186717,188287,190412,192419,194486,195755,197106,198262,199561,200500,201703,203579,205411,207288,208277,210197,211902,214716,217580,220139,222216,224162,226405,228257,230625,232828,235717,237723,239812,241372,242851,244028,246222,248830,251877,254367,256376,258682,260385,262140,264254,266946,270035,272988,275327,277076,278348,279220,280535,281608,283546,285412,287001,288198,289145,290500,291935,293701,295564,298159,300567
94481,1820,84121,Zip,UT,UT,Cottonwood Heights,Salt Lake City,Salt Lake County,217886,218523,219164,220591,221796,222610,222960,223146,223429,223717,224442,225252,225528,225323,225002,224785,225061,225407,226385,227181,227717,228138,227709,227245,227698,228825,229962,230296,230370,230998,231306,231848,232506,233163,234011,234446,234374,234225,234053,234157,233282,232468,231916,232185,232141,232064,232070,232349,232784,232969,233137,233369,235548,236932,238130,237772,238106,238474,238603,238739,238693,238753,238750,238986,238600,238716,238944,239701,239976,240002,239877,239583,239552,239216,239520,239580,239721,239578,239334,238934,238513,238425,239145,240065,240731,241533,241685,241854,241704,241702,241976,242535,243297,243801,244024,244409,245171,246026,247065,247895,248657,249434,249777,250132,250367,250758,250876,250692,250784,251260,252070,253342,254212,254760,255002,255642,257201,259470,262480,265834,268677,271499,273767,276889,281039,286396,293114,299916,305820,311433,315796,319839,323946,328769,335315,340628,345602,349944,353554,356976,358743,359500,360181,361264,362783,362545,360531,356928,353159,348872,345008,340298,337201,333756,331336,328169,323643,318804,313323,310511,307301,305369,302703,301242,298875,297473,295662,294557,294244,294378,294663,293798,292954,290755,288244,284667,283015,281506,280026,277360,274123,271327,269803,268071,266422,264962,264926,265834,265203,263988,262891,262880,263968,265458,266232,267312,269478,271818,273665,274586,277054,279941,283005,286461,289738,292745,295414,299678,302723,306778,309902,314046,316892,319487,321460,322935,323846,324662,326117,325459,325491,324540,324503,324099,323704,324231,325636,326646,328144,329626,332098,335068,337476,339536,341552,344686,348254,351406,353079,354738,356570,358374,359245,360329,362672,365669,368776,369478,371203,372431,376260,380572,384782,388221,391175,394109,396399,399557,401970,406083,408328,411786,413931,415919,415861,417677,420775,425667,429418,431915,435054,437306,440096,443048,446536,450463,454802,458735,461382,462162,462713,463621,464819,466536,468616,470106,471422,472514,474550,476246,478582,481609,485706,490158
